,rating,title,content,useful_count
42,4,包装が、、,今回は自宅用に買ったので良いのですが、割れもなくキレイでした。ただ、CMで箱1つひとつに赤いリボン?がかけられてるように見えたのですが、段ボールを開けたら、2箱一緒にリボンで縛られてて気になりました。手土産で持って行く事を考えると、個別にリボンが良いのではないかと思いました。味は、とても美味しかったので残念でした。,7
43,4,安定して美味しいですよね,アマゾンさんのCMをみて買えるんだと買って見ました。安定して美味しいです。,1
44,5,安定の味,ちょうどいい量で皆さんに好評でした,0
45,5,子供からお年寄りまでOKです,お茶でもコーヒー紅茶でも美味しく頂けます,0
46,5,美味しい,京都で作っているのに　中々買いに行けず　送料無料は　有り難いです,0
47,4,上品なお菓子です。,とても美味しかったです。,0
48,4,美味しかった,とても美味しく頂きました。,0
49,5,美味しい,早く届いたし美味しくいただきました。ありがとうございました！,0
50,5,子供からの要望,子供がテレビのCMを見て「あれ食べたい❗」から購入しました。色々お値段を比較し人数の多い我が家には８枚×２のパックをオーダー。年末ギリギリ発注にも関わらず年内に到着しました。お正月があけた、最初のお菓子として頂きました。生地のザクザク感とクリームの程よい風味で美味しい一時を子供も満足していました。贈答用としても使えるので、今度はどなたかに紹介がてら贈答させて頂こうと思います。,0
51,3,美味しかった！,お彼岸のお供えで送りましたが、美味しかったと聞いております。またお願いしたいと思っております。配送も早く、迅速に対応頂きました。ありがとうございました。,0
52,3,クリームっぽさはなかった,写真で見て中のクリーム美味しそうと思って買いましたが、食べてみるとガリッとした感じでクリームの柔らかい感じはなかったです。,2
53,3,普通,硬い生地にクリームが挟まってるそれほど美味しくない不味くもないけど,1
54,5,さいこう,千寿せんべい大好きで買えて本当嬉しいです,0
55,5,おいしい！,友人からのお土産で頂いた時にあまりにも美味しくて、自分用に買っちゃいました。リピ確実です。,0
56,5,美味い❗,ほんと上品な甘さと食感が美味しかった。,0
57,3,注文したけど…。,千寿せんべい８枚入り×2箱を注文したが1箱しか入っておらず、どこに問い合わせしたらいいのか分かりやすい。味はとても美味しいのに…。,2
58,5,丁寧な梱包でした。,お正月のお年賀でお渡しする様に買いました。味はわかりませんが、丁寧に梱包して頂いてました。,0
59,5,誰にでも喜ばれる安定した人気のお菓子,職場にお土産として購入しました。いつもとても喜ばれます。食べ応えもあり、コーヒーや日本茶にも合う安定した美味しさです。,1
60,5,サクサクで美味しい,近所の名鉄百貨店に買いに行ったら、今品切れ中で買えず‥Amazon送料無料だし、そんなに高くなかたので、購入安定のおいしさ,1
61,5,美味しいです,クッキー生地のザクザク感とクリームの優しい甘さ、止まらない美味しさです。一度に全部食べてしまうほどです。,2
62,4,お気に入りの千寿せんべい,手土産に購入しました。商品の発送も早かったのでとても助かりました。ありがとうございました。とても喜んでもらえました。,3
63,5,美味しい,職場の皆んなへの差し入れにしました。,1
64,5,飽きの来ない安定した美味しさ,ずいぶん前から千寿せんべいが好きで、関西に住んでいたころはよく買っていました。今はネットで食べたい時にすぐ食べられるようになり、うれしいです。二箱セットだったので、一つは友人にプレゼントして喜ばれました。,3
65,5,CMを見て無性に,会社でお中元やお歳暮によく頂いていましたが、CMを見て無性に食べたくなり注文しました。夜にポチって、次の日の朝9:00に配達されてビックリしました。CMで「賞味期限の品質管理もAmazonはしっかりしているので…」と言っていましたが、まさかこんなに早く届くなんて！味は安定のおいしさで手が止まりません(*'꒳`*)1箱は実家にあげましたがもっと食べたいので近日中に再注文すると思います。,3
66,5,アマゾンさんご一考を,とっても美味しいので、毎月購入してます、商品に不満はありません。今月の7日到着の賞味期限は22年1月1日、今日30日に届いたのは12月26日でした。賞味期限がすぎているわけでも、味が落ちてるわけでもないのですが、なんだかなぁと気分的によくないです。,1
67,3,美味しい💕、、、高い,美味しい💕もう少し安価なら、もっと購入したい,0
68,5,TVCMを見て買いました,以前 知人から頂いたことがあり TVCMを見て また食べたいと思い購入しました。サクサク生地とクリームで食べごたえもあり 記憶通りの美味しさに家族全員大満足です。,2
69,5,安定の美味しさ,何枚でも食べれます家族で取り合いです,0
70,5,やっぱり美味しい,突然食べたくなったけど自粛で行くことが出来なかったので嬉しかったです！やっぱり美味しくて家族と取り合いながら頂きました。賞味期限も3ヶ月以上余裕で届くのも早くて、ありがとうございました！,1
71,5,大好きな味,昔から大好きだったのでAmazonのCMでAmazonで買えることを知り買いました。京都に行かずたべれ満足です。,4
72,5,とても気に入りました。,対応が早くてとても気に入りました。,0
73,5,安定の美味しさ！,敬老の日に送りました。この千寿せんべいはいつ食べても安定の美味しさなので、安心して購入出来ます！,0
74,5,類似と食べ比べ,類似が多い銘菓ですが、我が家に合う控えめの甘さでした。,0
75,5,美味しい！,CM見て食べたくなった。安定の美味しさ。,0
76,5,とっても良かった。,美味しかったです。,0
77,5,CMで知って買いました,京都に旅行に行くと必ず購入していましたが、コロナ禍で行けず。そんな時、テレビのCMでこの商品の包装紙で取り扱いがある事を知り、即購入。2日後には届き、京都旅行の思い出話しをしながら懐かしく美味しくいただきました。,1
78,5,上品な甘さが大好き！,今まではお土産とか進物のお裾分けとかでしか食べたことなく、今回もそんな感じでもう少し食べたいって思い注文しましたー。すぐ届きました。上品な甘さが大好きです！,1
79,5,美味しい,とても美味しかったです。綺麗に包装されていたのでお土産が必要な時注文したいと思いました。,1
80,5,とても良かったです,迅速に配送していただきました。御返しとして、知人に手渡しするために頼みました。包装も綺麗で、お相手からも美味しかったよって、喜んでいただけました。,3
81,5,またお願いしたいです！,上品なお菓子ですね。と、とても喜んで頂きました。,1
82,5,予定通り届けていただき感謝です^ ^,お使い物に急に必要になり探しました。千寿せんべいは以前も頂いた事があり、とても好きなお菓子です。今回渡した時も、お上品でとても美味しかったと言っていただきました🎶ありがとうございました。,3
83,5,上品でコーヒーにも日本茶にも合う美味しいお菓子,コーヒーや紅茶、日本茶の両方にもよく合いいつも美味しく頂いております。,2
84,5,上品なお菓子　美味しい,二箱セットでしたので、一つは自宅用に、もう一つは実家のお年賀に買いました。熨斗はなかったです。厚いクッキー生地に軽めのクリームが挟んであり、割れている、ということは一切ありませんでした。大きめで一口ではたべられませんので、一人でおやつのときにおいしくいただきました。池袋まで行かなくてもAMAZONで届けてもらえて感謝です。また注文したいです。,0
85,3,さくさく,サクサク感はなく、いまいちである。,1
86,5,最高,昔食べた味と同じで、とても美味しかったです。,0
87,3,お届け,お届け物にしたので よく分かりません。,0
88,5,美味しい,毎年彼女へのバレンタインのお返しにしています。,1
89,5,生クリームの様な味に満足してます,とても、美味しくて毎日食べてしまいます。更に大きいサイズをリピートしました。,5
90,5,定番のおいしさ,久しぶりに食べることができました。丁寧な梱包で、すぐに届き嬉しかったです。とってもおいしくて、またリピートしたいです。,4
91,5,大好き,綺麗な箱で良かったです。昔からお気に入りのお菓子ですぐに得られて満足です。,2
92,5,美味しい、喜ばれる高級感,迅速な対応でした,0
93,2,ちょっとガッカリ,美味しいのは知ってるから安心して母の日にお花と送ったが、日にち指定したにもかかわらず1週間近くこのお菓子だけ先に届いた、！受け取った方も？だったと思う。ガッカリ,25
94,5,喜ばれました,外出自粛の為、夏休みのおみやげとして購入しました。発送完了予定より早く届いたので、とても助かりました。類似品が多いお菓子のようですが人気のお菓子の為、職場メンバーから大変好評でした。,7
95,5,京都,やっぱ上品。ついつい買ってしまう。人にあげると喜ばれますよ！,2
96,5,間違いなく美味しい,以前、贈り物として頂戴し、その美味しさが忘れられず、今回40枚入りを注文しました。自宅用と贈答品として購入しました。サワークリームと外側のクッキー感触の食感も最高です。また購入したいと思います。,3
97,1,半分くらいがぼろぼろでした,ものは美味しいのですが、Amazonで購入するとぼろぼろになった状態でとどきます。割れもの扱いで届けてもらえないのですかね？贈答用などを考えているのであれば別のところで購入したほうがいいです。,60
98,1,個数が少ない,8枚入り2箱のはずですが、手元に届いたのは1箱でした。泣き寝入りするしかないようです。,7
99,1,賞味期限ギリギリ,お年賀用に購入。賞味期限が書いてあったギリギリでした。今後は贈り物にはAmazonは、使わないようにします。,4
100,1,訳有り商品でもないのに,本日荷物が届いたが訳有り商品を買ったわけでもないのに賞味期限がたったの１５日しか持たない物が届いた。2ヶ月ほど持つ商品と書いてあったのに人にプレゼントするわけにも行かないし最悪！2度と買わない！,6
101,1,がっかりです。,お使い物にするつもりでしたが、袋がついてなかったので、やめました。たしか、袋を同包するとあったはずですが。,28
102,5,人生で一番好きなお菓子,京都に住んでいた頃、千寿せんべいを頂くと「やったー！」と思っていました。義母も大好きで2人で早速お茶を淹れてた。京都を離れて久しいですが、千寿せんべいが食べたい。買いました。美味しすぎる。あり得ないですが他の手持ちのお菓子を皆捨てました。千寿せんべいがあると食べる気がしない。しかもたっぷり購入。どうしましょう。ただでさえお菓子にはこだわりがあるのに、これでは千寿せんべいだけで生きて行かなくてはならない。とにかく間違いなく美味しいです。,2
103,5,プレゼントに！,お年始で田舎に持っていきましたが気に入ってもらえました！,0
104,3,慶弔用に利用,以前見たとき熨斗を指定できたのに、最近発送したときはそれがない。この種、高級菓子折りの慶弔用、贈答用に使われるものにてのしの対応を設定したらより利用価値が上がります。ご検討を,2
105,5,発送が早い,敬老の日の贈り物に祖母が好きなこちらを選びました。敬老の日前日に注文しましたが、翌日の午前中には祖父母の家届き、喜んでもらえました。,0
106,5,primeは速い,いつも手土産にしています。急遽必要になり、購入しました。prime購入したので、到着までとても速かったです。,1
107,5,やっぱり、美味しいです。,他のメーカーの似たようなのを買いましたが味が似妙に違うのでAmazonで見つけて鼓月のを買いました。これが本物の味です。やっぱり、美味しくて買って良かったです。,0
108,4,賞味期限が長く保存用に便利,３月下旬に購入しましたが、賞味期限が６月中旬までの商品が届きお客様の保存に便利だと思いました。生地もクリームも甘さが抑えられていて上品なお味です。,0
109,5,とても美味しいです！！,かなり前にお土産で頂いたのですが、とても美味しかったのですがどこの物か覚えてなくて、CM で見て、これだ！と思い注文しました。クッキー生地とクリームのバランスがとても良くてとっても美味しいです！またリピします！,0
110,5,鼓月　千寿せんべい,コマーシャルを観てAmazonでも買えるんだ！って知り早速注文しました。サクサク感と甘さが大好きです。またリピしたいです。,1
111,5,美味しい,テレビCMで見かけて食べたいと思ってました。見た目通りとても美味しいです。また買います。,0
112,5,やっぱり鼓月,立派な箱なので、持ち帰るとなるとかさばります。だから、お届けしてもらって本当に大正解。誰もが好きな千寿せんべい。,0
113,5,とても美味しい,美味しいから、何回も買った。,0
114,5,美味しくて定期的にリピしたい、,美味しくて厚みがあるのにあっさりしているので、一度に食べ過ぎ注意です。,0
115,5,美味しい,娘がハマっています。,0
116,5,京都みやげといえばこれ！,以前京都に行った際に購入したらすごく美味しくてこちらで40枚入りを購入させていただきました！外のクッキー生地と中のクリームの相性が抜群です！！あっという間に食べてしまったのでまた注文させてもらいます！,0
117,5,美味しい❗️,大変満足しております。,0
118,5,美味しい,美味しくてお手頃価格,0
119,5,美味しい,京都のお土産で買ってきた。美味しかったので2回注文しました。,0
120,5,高級なお菓子,たまに美味しいお菓子を食べたい時にと購入させていただきました。,0
121,5,やっぱり美味しい,友達へのプレゼント用と自宅用に買いました。よく昔居た会社で貰っていてとても好きなお菓子です。優しい甘さのクッキー？とクリームでつい手が伸びます。間違いのないお菓子でオススメです。,1
122,5,さりげない贈り物！,ちょっとしたご挨拶に8個入りの素敵な箱、大げさにならず とても上品に思えます！,0
123,5,おすすめ,父親のお供えに購入。その後下げていただきましたが、甘さおさえ美味しい味でした。次回機会があれば、使い物にも、購入しようと思っています。,0
124,5,カケ無く届きました,商品が美味しい事に変わりなく。配送のレビューになるかと思いますがカケ無く届きました。,0
125,5,手土産に喜ばれます,2セット入ってこのお値段はちょっとしたお相手にピッタリです。とても美味しかったとのお礼を頂きました。,1
126,5,手土産に,お味もしっていたので、安心して購入できました。夫の職場に持参してもらいましたが、みなさんに喜んで頂きよかったです。,0
127,5,贈って喜ばれるお菓子です,安定の美味しさです。,0
128,5,とても良い買い物をさせてもらいました。,プレゼントとして購入させて頂きました。お店のことは知っていたみたいでとても喜んでもらいました。,0
129,5,完璧,手土産様の購入です。最近は包装しての商品が無い中とても有難いです。先様がお留守の分を我が家で頂きました。思っていた以上の和でもあり洋でもある食感、味わいに満足です。購入しても自分で食することが無いのですが、自分が相手先にどの様な手土産品を渡したのか知る事も大切だと思いました。,0
130,5,粉っぽくなくて、ほどよく甘さ控えめのお菓子,買いに行かずに購入できたので有難い。サクッとした生地で中のクリームは甘すぎずとても美味しく食べ応えあります。8枚入りの箱が2箱で包装もちゃんとしたので、父の日に１箱持っていきました☺,2
131,4,サクサク感最高!,王道のサクサク感、類似品もありますが、やっぱりこれって感じです。,2
132,5,美味しい,初めて食べた時から大好きな菓子です。,1
133,5,退職の挨拶,到着が早い！,0
134,5,品質はとても気に入りました,歯触りが良く甘さ控えめが良かった,0
135,5,美味いお菓子です。,京都に行かなくても購入する事が出来ました。美味しいお菓子ですね。,0
136,5,とてもおいしいです。,やめれれないくらい嚙み心地や味とてもおいしいです。なくなるとついつい買ってしまいます。,0
